id,name,description,price_range,rating,location
68ce8fd7d89d33e016701b94,Demo Pizza,Pizza Ngon với những vị vô cùng độc đáo,mid,3.8,"99 man thiện phường tăng nhơn phú"
68dbedd99b4619555f222e11,ABC Bakery,Tiệm bánh lâu đời,mid,3.8,"1029 Cách Mạng Tháng Tám, Hồ Chí Minh"
68e08a5d6bd4ad51ae559e01,Borcelle Coffee Shop,Cà phê chuẩn vị,budget,4.8,"42 Trần Mai Ninh, Tân Bình, TpHCM"
68e65693bdd8f3e7eb455481,Givral,Lấy cảm hứng từ nghệ thuật làm bánh Pháp  dòng bánh nướng Givral chinh phục thực khách bởi lớp vỏ vàng óng  thơm bơ nhẹ nhàng.,budget,3.9,"112a Tân Hương, Tân Quý, Tân Phú, Thành phố Hồ Chí Minh"
68e65bab75385a2dc12a500b,Cafe Ngon Ngon,Cafe tươi từ Thái Nguyên,premium,3.6,"146 Nguyễn Văn Thủ, Quận 1"
68f30cbfa2bca94aa9fd19c8,Asian Fusion Kitchen,Món ăn Châu Á,budget,4.3,"45 Lý Tự Trọng, Quận 1, TP.HCM"
68f30cbea2bca94aa9fd19c7,Quán Ăn Gia Đình Việt,Quán ăn với những món Việt Nam truyền thống.,premium,4.0,"123 Nguyễn Huệ, Quận 1, TP.HCM"
6908a87ad30cc326ef17b542,Phở Cao Vân,Chuẩn vị Phở Bắc,mid,3.8,"205/32 Thoại Ngọc Hầu, Tân Phú, TPHCM"
691b2a643352e0c4379205df,KFC Việt Nam,Đặt KFC Giao Hàng Nhanh Chóng — Thỏa sức lựa chọn! Đặt KFC dễ dàng  nhận hàng nhanh  ưu đãi tràn ngập.,mid,3.9,"111 Nguyễn Sơn, Phú Thạnh, Tân Phú, TpHCM"
691b365e3352e0c437920cd8,The Pizza Company,The Pizza Company nổi bật với các loại pizza đa dạng từ truyền thống đến hiện đại như pizza hải sản  pizza thịt nướng và pizza phô mai.,budget,3.7,"515 Đ. Lê Văn Sỹ, Phường 2, Tân Bình, Thành phố Hồ Chí Minh"
691b46553352e0c437920fed,Al Fresco’s,Với hơn 25 năm hoạt động  Al Fresco's luôn mang đến cho khách hàng tại Việt Nam những trải nghiệm ẩm thực chất lượng cùng mức chi phí hợp lý.,budget,3.6,"111 Cộng Hòa, Tân Bình, Thành Phố Hồ Chí Minh"
691bce6ee992502f00390fb8,Sunday Basic,Trà Đào Cam Sả Sunday Basic - Kết hợp tươi mát giữa trà đào ngọt dịu  vị cam thơm lừng và hương sả thanh mát. Một thức uống sảng khoái  giải nhiệt đầy hấp dẫn!,budget,3.7,"30A Thích Quảng Đức, P. 5, Phú Nhuận, TP. HCM"
691bcf99e992502f00390fd5,Phúc Long,Mua online trà phúc long chất lượng  mới nhất.,mid,4.2,"547-549 Đ. Tạ Quang Bửu, Thành phố Hồ Chí Minh"
691bd0e7e992502f00390ff3,Highlands Coffee,Highlands Coffee - Thương Hiệu Cà Phê Tự Hào Sinh Ra Từ Đất Việt.,budget,4.7,"208 Cao Lỗ, Thành phố Hồ Chí Minh"
691c9434c1fba72f38633937,Cơm niêu Thiên Lý,Với sứ mệnh mang đến những bữa ăn đậm chất truyền thống Việt Nam  Cơm Niêu Thiên Lý đã trở thành điểm đến quen thuộc của thực khách yêu thích cơm niêu và các món ăn dân dã. Chúng tôi cam kết sử dụng nguyên liệu tươi ngon  cùng đội ngũ đầu bếp chuyên nghiệp để mang lại trải nghiệm ẩm thực hoàn hảo nhất.,budget,4.0,"786 Đ. Âu Cơ, Phường Tân Bình, Tân Bình, Thành phố Hồ Chí Minh"
691c9604cf4e1243c09d993d,Cơm Gà Lão Hương Thân,Cơm gà chuyên bán vào giờ trưa và chiều,budget,4.7,"402 Trần Phú, Phường 7, Quận 5, Thành phố Hồ Chí Minh"
691c9758cf4e1243c09d9959,Cơm Gà Hải Nam - TRUNG SƠN,Cơm gà vô cùng chuẩn vị,mid,4.7,"40-42 Đ. 9A KDC Trung Sơn, X. Bình Hưng, Bình Chánh, TP. HCM"
691decfb93299794cf7f6797,Sushi Tí,Sushi giá rẻ nhưng chất lượng sẽ khiến bạn vô cùng bất ngờ,budget,4.0,"41 Huỳnh Tịnh Của, P. 19, Bình Thạnh, TP. HCM"
691f0ac1bb3ca277096ad0df,Cơm Chay Diệu Vy - Trần Hưng Đạo,Cơm chay thanh đạm. Với nhiều món mới cho bạn lựa chọn,budget,4.7,"393/1 Trần Hưng Đạo, P. Cầu Kho, Quận 1, TP. HCM"
691f12cebb3ca277096ad40c,SIMPLE CAKE - Bánh Kem Bắp - Ung Văn Khiêm,Quán bán bánh ngọt siêu ngon ở Bình Thạnh,premium,4.2,"08 Ung Văn Khiêm, P. 25, Bình Thạnh, TP. HCM"
